Genome	Domain	Phylum	Class	Order	Family	Genus	Species
GCF_000023785.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hirschia	Hirschia baltica ATCC 49814
GCF_000376805.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Henriciella	Henriciella marina DSM 19595
GCF_000013025.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	Hyphomonas neptunium ATCC 15444
GCF_000014745.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Maricaulaceae	Maricaulis	Maricaulis maris MCS10
GCF_000152745.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Maricaulaceae	Oceanicaulis	Oceanicaulis sp. HTCC2633
GCF_000382325.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Maricaulaceae	Woodsholea	Woodsholea maritima DSM 17123
GCF_000428525.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Robiginitomaculaceae	Hellea	Hellea balneolensis DSM 19091
GCF_000365025.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Robiginitomaculaceae	Robiginitomaculum	Robiginitomaculum antarcticum DSM 21748
GCF_000152825.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula	Parvularcula bermudensis HTCC2503
GCF_000144605.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides ATCC 15264
GCF_000092285.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter segnis ATCC 21756
GCF_000017265.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium zucineum HLK1
GCF_000175215.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus CB 48
GCF_000429865.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Cucumibacter	Cucumibacter marinus DSM 18995
GCF_000423365.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Maritalea	Maritalea myrionectae DSM 19524
GCF_000230555.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	Pelagibacterium halotolerans B2
GCF_000743515.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp. 17-2-E-8
GCF_900119845.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia enhydra ATCC 23634
GCF_021229285.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium japonicum SEMIA 5079
