From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Taxonomic lineage (Ids)
UniRef100_A0A023X8E4	A0A023X8E4	A0A023X8E4_RUBRA	Arginase/agmatinase/formimionoglutamate hydrolase arginase family	RradSPS_3051	Rubrobacter radiotolerans (Arthrobacter radiotolerans)	382	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Rubrobacteria (class), Rubrobacterales (order), Rubrobacteraceae (family), Rubrobacter (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 84995 (class), 84996 (order), 84997 (family), 42255 (genus)
UniRef100_A0A037ZFJ4	A0A037ZFJ4	A0A037ZFJ4_9RHOB	Agmatinase	ACMU_18245	Actibacterium mucosum KCTC 23349	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Actibacterium (genus), Actibacterium mucosum (species)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 1433986 (genus), 1087332 (species)
UniRef100_A0A058ZJP7	A0A058ZJP7	A0A058ZJP7_9RHOB	SpeB, Arginase/agmatinase/formimionoglutamate hydrolase, arginase family protein	ATO10_14579	Actibacterium atlanticum	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Actibacterium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 1433986 (genus)
UniRef100_A0A073CFV3	A0A073CFV3	A0A073CFV3_PLAA1	SpeB (EC 3.5.3.11)	speB A19Y_1531	Planktothrix agardhii (strain NIVA-CYA 126/8)	397	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Oscillatoriales (order), Microcoleaceae (family), Planktothrix (genus), Planktothrix agardhii (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1301283 (subclass), 1150 (order), 1892252 (family), 54304 (genus), 1160 (species)
UniRef100_A0A074JNC9	A0A074JNC9	A0A074JNC9_9RHOB	Agmatinase	TP2_13495	Thioclava pacifica DSM 10166	424	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Thioclava (genus), Thioclava pacifica (species)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 285107 (genus), 285109 (species)
UniRef100_A0A085TZR9	A0A085TZR9	A0A085TZR9_9RHOB	Agmatinase	DW2_02859	Thioclava atlantica	423	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Thioclava (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 285107 (genus)
UniRef100_A0A0A0E9I7	A0A0A0E9I7	A0A0A0E9I7_9RHOB	Agmatinase	ATO9_21545	Pseudooceanicola atlanticus	424	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Pseudooceanicola (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 1679449 (genus)
UniRef100_A0A0A6P9U7	A0A0A6P9U7	A0A0A6P9U7_9GAMM	Agmatinase	PN36_14190	Candidatus Thiomargarita nelsonii	397	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Thiotrichales (order), Thiotrichaceae (family), Thiomargarita (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 72273 (order), 135617 (family), 90372 (genus)
UniRef100_A0A0B3SU23	A0A0B3SU23	A0A0B3SU23_9RHOB	SpeB, Arginase/agmatinase/formimionoglutamate hydrolase, arginase family protein	OA50_01537	Mameliella alba	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Mameliella (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 1434019 (genus)
UniRef100_A0A0D8HF23	A0A0D8HF23	A0A0D8HF23_9ACTN	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah AXFE_27620	Acidithrix ferrooxidans	376	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Acidimicrobiia (class), Acidimicrobiales (order), Acidimicrobiaceae (family), Acidithrix (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 84992 (class), 84993 (order), 84994 (family), 1609233 (genus)
